Подача;Куда ехать;Важная;В пути;Завершен;Время заказа;Время на заказе;На месте;Отмена;Время подачи;Принят;Время создания;Дата заказа;Деталировка поездки;Детское кресло;Затратный центр;Источник;Категории;Километраж;Количество;Компания;Координаты;Координаты куда;Кост Код;Купон;Купон (%);НДС;#;Опции;Ответственный;Подразделение;Подразделение;Позывной;Показывать номер;Примечание;Принят водителем;Причина отказа;Район;Район куда;Расчёт;Расчёт;СЛИП;Служебная информация;СМС;Создал;Способ оплаты;Статус;Тип;ТС;Цель поездки;ID;old_uuid
Школьная улица, 7;Всеволожск, ул. Александровская, 75, корп. 1, ТЦ Котово Поле;;01.02.2018 9:38;01.02.2018 9:49;01.02.2018 9:34;0:11:00;01.02.2018 9:36;;0:06:16;01.02.2018 9:30;01.02.2018 9:30;01.02.2018 9:34;;0;;;1;;0;;30.6998950239,60.0427018856;30.630469,60.024801;;0;0;39,06;8374;2048;;;;614178;;;;;;;0;01.02.2018 9:30;;;;;Безналичные;Завершен;Яндекс.Безналичный;Chevrolet Cruze;;969698e6c29d4f7893ccc4abb1fff7d1;
Рядом с: Искровский проспект, 6к3;До пункта: Лиговский проспект, 41/83;;;01.02.2018 9:27;01.02.2018 9:34;9:27:15;;;9:26:56;;01.02.2018 9:26;01.02.2018 9:34;;0;;;1;;0;;30.4605072301,59.9138278095;30.360308,59.930683;;0;0;0;8372;0;;;;846197;;;;Reject: autocancel;;;0;01.02.2018 9:26;;;;;Наличные;Отменен;Яндекс;Volkswagen Polo;;11aca54f11b34ac997f01bf8b9b05180;
улица Белышева, 5/6, подъезд 14;Лиговский проспект, 30;;;01.02.2018 8:36;01.02.2018 8:40;8:36:17;;;8:33:04;01.02.2018 8:33;01.02.2018 8:33;01.02.2018 8:40;;0;;;1;;0;;30.454505,59.908317;30.3590204671,59.9270160027;;0;0;0;8371;0;;;;846197;;;;user;;;0;01.02.2018 8:33;;;;;Наличные;Отменен;Яндекс;Volkswagen Polo;;2edda12d3f31486a8bfc702916381bc5;
Тбилисская улица, 24;Фурштатская улица, 36А, Семейная клиника Роддом на Фурштатской;;01.02.2018 8:40;01.02.2018 9:25;01.02.2018 8:38;0:45:18;01.02.2018 8:37;;0:09:29;01.02.2018 8:27;01.02.2018 8:27;01.02.2018 8:38;;0;;;4;;0;;30.2972217408,60.017883161;30.358763,59.945396;;0;0;186,3;8370;0;;;;536178;;;;;;;0;01.02.2018 8:27;;;;;Наличные;Завершен;Яндекс;BMW 5er;;c581f3b298f74614866aabfa09289d78;
Рядом с: проспект Медиков, 10к1;До пункта: проспект Испытателей, 22;;01.02.2018 7:40;01.02.2018 7:54;01.02.2018 7:34;0:13:29;01.02.2018 7:33;;0:08:38;01.02.2018 7:25;01.02.2018 7:24;01.02.2018 7:34;;0;;;4;;0;;30.3171293964,59.9755294232;30.274589819,60.0049519805;;0;0;124,2;8369;0;;;;536178;;;;;;;0;01.02.2018 7:24;;;;;Наличные;Завершен;Яндекс;BMW 5er;;cae3bb6430f54c4289cdaf57c94b01c1;
Рядом с: Богатырский проспект, 7к3;До пункта: Парашютная улица, 58;;;01.02.2018 0:25;01.02.2018 0:32;0:25:42;;;0:25:25;01.02.2018 0:25;01.02.2018 0:25;01.02.2018 0:32;;0;;;4;;0;;30.2887360006,60.0016283974;30.243087,60.037944;;0;0;0;8368;0;;;;215820;;;;user;;;0;01.02.2018 0:25;;;;;Наличные;Отменен;Яндекс;BMW 5er;;b85bafc413ae4275a0c3d8a629db8831;
Рядом с: площадь Ленина, 6;До пункта: проспект Ветеранов, 3к2;;31.01.2018 23:29;31.01.2018 23:56;31.01.2018 23:28;0:27:44;31.01.2018 23:24;;0:06:18;31.01.2018 23:18;31.01.2018 23:17;31.01.2018 23:28;;0;;;4;;0;;30.3560237038,59.9571653639;30.2506332574,59.84728;;0;0;210,96;8367;2048;;;;215178;;;;;;;0;31.01.2018 23:17;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;c6ab34e2632347dd94b72a4947814b74;
Рядом с: Казанская улица, 3А;До пункта: Английский проспект, 45;;31.01.2018 23:19;31.01.2018 23:27;31.01.2018 23:22;0:07:43;31.01.2018 23:19;;0:04:20;31.01.2018 23:14;31.01.2018 23:14;31.01.2018 23:22;;0;;;1;;0;;30.3226489698,59.933907231;30.2893408849,59.9172621227;;0;0;28,62;8366;2048;;;;11178;;;;;;;0;31.01.2018 23:14;;;;;Безналичные;Завершен;Яндекс.Безналичный;Volkswagen Polo;;e06858bfd5cd4f6c9a28edd36e0afcd5;
Большая Конюшенная улица, 10;Гангутская улица, 4;;31.01.2018 22:49;31.01.2018 22:57;31.01.2018 22:50;0:07:25;31.01.2018 22:49;;0:04:19;31.01.2018 22:45;31.01.2018 22:45;31.01.2018 22:50;;0;;;4;;0;;30.32333528,59.9376409143;30.338936679,59.9449193328;;0;0;100,08;8365;6144;;;;215178;;;;;;;0;31.01.2018 22:45;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;bf307344d2954b9ab2f68edc3aa35f5b;
Рядом с: Московский район, муниципальный округ Звёздное;До пункта: Туристская улица, 15к1;;31.01.2018 22:30;31.01.2018 22:53;31.01.2018 22:26;0:23:04;31.01.2018 22:22;;0:00:30;31.01.2018 22:22;31.01.2018 22:22;31.01.2018 22:26;;0;;;1;;0;;30.3244746343,59.8428603732;30.210343,59.999525;;0;0;91,08;8364;0;;;;11178;;;;;;;0;31.01.2018 22:22;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;4d91957ae9414a69aab236a9459346e8;
Невский проспект, 85;Владимирский проспект, 1/47;;31.01.2018 22:20;31.01.2018 22:27;31.01.2018 22:24;0:06:46;31.01.2018 22:19;;0:00:47;31.01.2018 22:19;31.01.2018 22:19;31.01.2018 22:24;;0;;;4;;0;;30.3614470304,59.9303717542;30.347498,59.93218;;0;0;95,04;8363;2048;;;;472178;;;;;;;0;31.01.2018 22:19;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;65b2f4edaa104534b6965c6ea4e9fee5;
площадь Победы, 1, Park Inn by Radisson Pulkovskaya;посёлок Шушары, территория Пулковское, Петербургское шоссе, 64к2, Hampton by Hilton Saint Petersburg ExpoForum;;31.01.2018 21:38;31.01.2018 21:49;31.01.2018 21:40;0:10:37;31.01.2018 21:35;;0:00:08;31.01.2018 21:35;31.01.2018 21:35;31.01.2018 21:40;;0;;;1;;0;;30.318518,59.842689;30.355891,59.763615;;0;0;45;8362;0;;;;11178;;;;;;;0;31.01.2018 21:35;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;7ebe48994dd04ae6ab24e70347d868fc;
площадь Победы, 2;Заставская улица, 46к1;;31.01.2018 20:58;31.01.2018 21:11;31.01.2018 20:58;0:12:55;31.01.2018 20:53;;0:00:14;31.01.2018 20:53;31.01.2018 20:53;31.01.2018 20:58;;0;;;1;;0;;30.3251387209,59.8428254256;30.313766,59.888379;;0;0;37,08;8361;0;;;;11178;;;;;;;0;31.01.2018 20:53;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;524e6d4c6a7a4f9e8b176842c139a7f9;
набережная реки Фонтанки, 55;Миллионная улица, 17;;31.01.2018 19:50;31.01.2018 19:58;31.01.2018 19:44;0:08:39;31.01.2018 19:41;;0:03:04;31.01.2018 19:38;31.01.2018 19:38;31.01.2018 19:44;;0;;;4;;0;;30.3358061577,59.9289878949;30.323764,59.943751;;0;0;104,94;8360;2048;;;;472178;;;;;;;0;31.01.2018 19:38;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;a0efccb490b048d5b796e1852448a2f8;
улица Белы Куна, 15к2;улица Ярослава Гашека, 8;;31.01.2018 19:46;31.01.2018 20:06;31.01.2018 19:42;0:20:00;31.01.2018 19:41;;0:03:04;31.01.2018 19:38;31.01.2018 19:38;31.01.2018 19:42;;0;;;1;;0;;30.3923469973,59.8738211806;30.394444,59.833986;;0;0;41,58;8359;0;;;;11178;;;;;;;0;31.01.2018 19:38;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;ba85615accac4679bec3584b2051f926;
проспект Космонавтов, 14;Бухарестская улица, 27к3;;31.01.2018 19:20;31.01.2018 19:33;31.01.2018 19:22;0:13:08;31.01.2018 19:18;;0:00:37;31.01.2018 19:18;31.01.2018 19:18;31.01.2018 19:22;;0;;;1;;0;;30.3493705166,59.8665215714;30.3748861144,59.8727755803;;0;0;28,62;8358;0;;;;11178;;;;;;;0;31.01.2018 19:18;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;c3431420e2a34860a306cb25a3874557;
улица Савушкина, 112;набережная Мартынова, 38А;;31.01.2018 19:22;31.01.2018 19:35;31.01.2018 19:18;0:12:47;31.01.2018 19:16;;0:03:58;31.01.2018 19:12;31.01.2018 19:12;31.01.2018 19:18;;0;;;4;;0;;30.2270350217,59.9846483186;30.254316,59.97418;;0;0;133,02;8357;2048;;;;215820;;;;;;;0;31.01.2018 19:12;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;1a9af070e23241c4a038f3072933b031;
проспект Юрия Гагарина, 26к1;проспект Космонавтов, 14, ТРК Питер Радуга;;31.01.2018 19:10;31.01.2018 19:15;31.01.2018 19:08;0:05:50;31.01.2018 19:07;;0:05:22;31.01.2018 19:01;31.01.2018 19:01;31.01.2018 19:08;;0;;;1;;0;;30.3381716096,59.8552050204;30.350811,59.869142;;0;0;25,38;8356;2048;;;;11178;;;;;;;0;31.01.2018 19:01;;;;;Безналичные;Завершен;Яндекс.Безналичный;Volkswagen Polo;;647d16d2985f4ee2b98e09260980d8bc;
Рядом с: улица Типанова, 21;До пункта: посёлок Шушары, Пушкинская улица, 18;;;31.01.2018 18:58;31.01.2018 19:02;18:58:03;;;18:57:54;;31.01.2018 18:57;31.01.2018 19:02;;0;;;1;;0;;30.3423136112,59.8535514486;30.3825456561,59.8052261095;;0;0;0;8355;0;;;;11178;;;;assigned;;;0;31.01.2018 18:57;;;;;Наличные;Отменен;Яндекс;Volkswagen Polo;;975005186d17425a94a7b7396f756c26;
Туристская улица;Приморский проспект, 72, ТРЦ Питерлэнд;;31.01.2018 19:01;31.01.2018 19:12;31.01.2018 18:56;0:11:01;31.01.2018 18:57;;0:04:50;31.01.2018 18:52;31.01.2018 18:52;31.01.2018 18:56;;0;;;2;;0;;30.2089157585,60.0006556198;30.211139,59.982031;;0;0;58,68;8354;0;;;;215820;;;;;;;0;31.01.2018 18:52;;;;;Наличные;Завершен;Яндекс;BMW 5er;;a8ff6067be9f4dec940aca9e6a50fc55;
Бассейная улица, 45;Витебский проспект, 17к6А;;31.01.2018 18:41;31.01.2018 18:51;31.01.2018 18:42;0:10:08;31.01.2018 18:41;;0:05:40;31.01.2018 18:36;31.01.2018 18:36;31.01.2018 18:42;;0;;;1;;0;;30.3235716896,59.8647101296;30.3542000267,59.869546314;;0;0;27;8353;2048;;;;11178;;;;;;;0;31.01.2018 18:36;;;;;Безналичные;Завершен;Яндекс.Безналичный;Volkswagen Polo;;3d0938101e0c4427985176593f39f054;
проспект Юрия Гагарина, 46, подъезд 6;ул. Гастелло, 21, литер А, Городская больница № 20;;31.01.2018 18:26;31.01.2018 18:34;31.01.2018 18:26;0:08:30;31.01.2018 18:25;;0:04:43;31.01.2018 18:20;31.01.2018 18:20;31.01.2018 18:26;;0;;;1;;0;;30.3394788579,59.8394778494;30.334474,59.856996;;0;0;25,92;8352;0;;;;11178;;;;;;;0;31.01.2018 18:20;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;62c99923107e4187906e5a84a49bfe84;
набережная реки Фонтанки, 39Е;Петергофское ш., 51, литера А, Жемчужная плаза;;;31.01.2018 18:11;31.01.2018 18:14;18:11:02;;;18:10:03;31.01.2018 18:10;31.01.2018 18:10;31.01.2018 18:14;;0;;;4;;0;;30.3375690755,59.9326468989;30.144052,59.848846;;0;0;0;8351;0;;;;472178;;;;user;;;0;31.01.2018 18:10;;;;;Наличные;Отменен;Яндекс;BMW 5er;;855253b894df436eaea81186cfdfe5c9;
Рядом с: Московский проспект;До пункта: проспект Космонавтов, 37;;31.01.2018 17:56;31.01.2018 18:05;31.01.2018 17:56;0:09:11;31.01.2018 17:55;;0:05:38;31.01.2018 17:50;31.01.2018 17:50;31.01.2018 17:56;;0;;;1;;0;;30.3217294135,59.853090256;30.348773,59.854924;;0;0;28,08;8350;2048;;;;11178;;;;;;;0;31.01.2018 17:50;;;;;Безналичные;Завершен;Яндекс.Безналичный;Volkswagen Polo;;fadedd636a4a458aafab5e88567c0400;
Корабельная улица, 4АБ;Будапештская улица, 89к1;;31.01.2018 17:20;31.01.2018 18:04;31.01.2018 17:14;0:43:33;31.01.2018 17:15;;0:06:13;31.01.2018 17:09;31.01.2018 17:09;31.01.2018 17:14;;0;;;1;;0;;30.238801872,59.868363664;30.401995544,59.8323570299;;0;0;70,2;8349;0;;;;614178;;;;;;;0;31.01.2018 17:09;;;;;Наличные;Завершен;Яндекс;Chevrolet Cruze;;b83ea2d1fba44a2e8fa945e6e0e7a8ed;
Разъезжая улица, 8;Фурштатская улица, 45;;31.01.2018 17:05;31.01.2018 17:23;31.01.2018 17:02;0:18:08;31.01.2018 17:01;;0:03:33;31.01.2018 16:57;31.01.2018 16:57;31.01.2018 17:02;;0;;;1;;0;;30.3444093734,59.9253796729;30.3664719312,59.9449569454;;0;0;30,06;8348;0;;;;857178;;;;;;;0;31.01.2018 16:57;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;15d662893c984fa1a86c35477b0f6279;
Яхтенная улица, 24к2;Богатырский проспект, 15;;31.01.2018 16:48;31.01.2018 16:57;31.01.2018 16:40;0:08:25;31.01.2018 16:39;;0:05:56;31.01.2018 16:33;31.01.2018 16:33;31.01.2018 16:40;;0;;;1;;0;;30.218221,59.998045;30.263972,60.001586;;0;0;35,1;8347;0;;;;190178;;;;;;;0;31.01.2018 16:33;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;177fc9fa663d4a4ea4c31643cbe6ac07;
Невский проспект, 152;Малая Морская улица, 13;;;31.01.2018 15:15;31.01.2018 15:16;15:15:25;;;15:12:32;31.01.2018 15:12;31.01.2018 15:12;31.01.2018 15:16;;0;;;1;;0;;30.3736995577,59.9278379889;30.312185,59.93561;;0;0;0;8346;2048;;;;857178;;;;user;;;0;31.01.2018 15:12;;;;;Безналичные;Отменен;Яндекс.Безналичный;Hyundai Solaris;;46e4b26a4f214334ac7ea8d3a5445468;
Рядом с: Российский проспект, 8;До пункта: набережная Обводного канала, 15;;31.01.2018 14:42;31.01.2018 14:58;31.01.2018 14:34;0:16:48;31.01.2018 14:40;;0:09:40;31.01.2018 14:31;31.01.2018 14:30;31.01.2018 14:34;;0;;;1;;0;;30.4710523713,59.9266920679;30.3845848236,59.9172522372;;0;0;40,86;8345;2048;;;;857178;;;;;;;0;31.01.2018 14:30;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;32bf58db64c94feb88256330ab5674a9;
Рядом с: Синопская набережная, 22;До пункта: Московский проспект, 158;;31.01.2018 13:03;31.01.2018 13:25;31.01.2018 13:00;0:22:18;31.01.2018 13:03;;0:07:08;31.01.2018 12:56;31.01.2018 12:56;31.01.2018 13:00;;0;;;4;;0;;30.3876366257,59.9288962029;30.322974,59.881868;;0;0;142,38;8344;2048;;;;472178;;;;;;;0;31.01.2018 12:56;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;586be18971ad4f8bb081fc8cddeaee81;
Петергофское шоссе, 5к2;1 линия, метро Ленинский проспект;;31.01.2018 11:44;31.01.2018 11:54;31.01.2018 11:40;0:09:55;31.01.2018 11:41;;0:05:15;31.01.2018 11:36;31.01.2018 11:36;31.01.2018 11:40;;0;;;1;;0;;30.2028757088,59.8478979446;30.268401,59.850703;;0;0;28,8;8343;0;;;;846197;;;;;;;0;31.01.2018 11:36;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;d3054b6a029c457c9cf71c9f79e467e7;
Рядом с: микрорайон Южный, Крымская улица, 2;До пункта: Пушкинский переулок, 7;;31.01.2018 10:48;31.01.2018 10:58;31.01.2018 10:44;0:10:14;31.01.2018 10:43;;0:02:58;31.01.2018 10:40;31.01.2018 10:40;31.01.2018 10:44;;0;;;1;;0;;30.6531647344,59.9873654645;30.6977707559,60.0198480781;;0;0;44,1;8342;0;;;;857178;;во двор;;;;;0;31.01.2018 10:40;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;8c8584e2a4a54327abb3cdd3ab44f7c5;
21;Всеволожск, Колтушское шоссе, 20, ГБУЗ ЛО Всеволжская клиническая межрайонная больница поликлиника;;31.01.2018 10:01;31.01.2018 10:10;31.01.2018 9:56;0:09:27;31.01.2018 9:53;;0:02:05;31.01.2018 9:51;31.01.2018 9:51;31.01.2018 9:56;;0;;;1;;0;;30.7040451144,60.0449151491;30.63286762,60.0341691085;;0;0;40,5;8341;2048;;;;614178;;Ребёнок 6 лет в гипсе кресло не над Ребёнок 1 год на руках;;;;;0;31.01.2018 9:51;;;;;Безналичные;Завершен;Яндекс.Безналичный;Chevrolet Cruze;;c424204bd96448b1bcebc8b95d341d99;
деревня Кудрово, Столичная улица, 4к2;улица Дыбенко, 26;;;31.01.2018 8:47;31.01.2018 9:02;8:47:00;;;8:45:38;31.01.2018 8:45;31.01.2018 8:45;31.01.2018 9:02;;0;;;1;;0;;30.5181542598,59.8993664818;30.4837060363,59.9070819274;;0;0;0;8339;2048;;;;846197;;;;user;;;0;31.01.2018 8:45;;;;;Безналичные;Отменен;Яндекс.Безналичный;Volkswagen Polo;;309237b5c92e4c2385cf0b163b6a835c;
Рядом с: улица Антонова-Овсеенко, 5к4;До пункта: проспект Большевиков, 54к7Д;;31.01.2018 8:50;31.01.2018 9:13;31.01.2018 8:52;0:22:36;31.01.2018 8:50;;0:02:29;31.01.2018 8:47;31.01.2018 8:47;31.01.2018 8:52;;0;;;1;;0;;30.4627553304,59.9051999744;30.5048203067,59.8808815503;;0;0;40,14;8340;0;;;;846197;;;;;;;0;31.01.2018 8:47;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;18508411071e456ab75728c8ab04e40c;
Рядом с: местечко Углово,;До пункта: Всеволожск, микрорайон Южный, Центральная улица, 6;;31.01.2018 8:44;31.01.2018 9:12;31.01.2018 8:42;0:27:51;31.01.2018 8:41;;0:04:34;31.01.2018 8:37;31.01.2018 8:37;31.01.2018 8:42;;0;;;1;;0;;30.7064387812,60.0556314574;30.6428884507,59.9936831564;;0;0;79,92;8338;0;;;;857178;;;;;;;0;31.01.2018 8:37;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;9701d684782e49988dcf5c5b52da0446;
Рядом с: улица Оптиков, 45к1;До пункта: Новосельковская улица, 37;;31.01.2018 8:28;31.01.2018 8:59;31.01.2018 8:24;0:31:16;31.01.2018 8:24;;0:05:39;31.01.2018 8:19;31.01.2018 8:19;31.01.2018 8:24;;0;;;1;;0;;30.2036037329,60.002993803;30.282568,60.03425;;0;0;46,08;8337;2048;;;;771178;;;;;;;0;31.01.2018 8:19;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;1b76db30bb7046f8994f86f0821d9d8b;
Рядом с: улица Костюшко;До пункта: Шуваловский проспект, 74к2;;31.01.2018 7:49;31.01.2018 8:20;31.01.2018 7:46;0:31:15;31.01.2018 7:45;;0:03:15;31.01.2018 7:42;31.01.2018 7:42;31.01.2018 7:46;;0;;;1;;0;;30.3055518953,59.8442173948;30.1993166011,60.0055896161;;0;0;91,26;8336;2048;;;;771178;;;;;;;0;31.01.2018 7:42;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;7b2b93dbae19474bb3099c34e1ec0acc;
Рядом с: переулок Гривцова, 1/64;До пункта: набережная канала Грибоедова, 74;;31.01.2018 1:14;31.01.2018 1:15;31.01.2018 1:12;0:00:30;31.01.2018 1:11;;0:07:18;31.01.2018 1:04;31.01.2018 1:04;31.01.2018 1:12;;0;;;4;;0;;30.3121816875,59.9320181805;30.310442,59.925867;;0;0;89,28;8335;0;;;;472178;;;;;;;0;31.01.2018 1:04;;;;;Наличные;Завершен;Яндекс;BMW 5er;;86761917bcc34b2a9a1995c9e120f7c2;
улица Хошимина, 16;Ушаковская набережная, 1к3;;;30.01.2018 23:00;30.01.2018 23:11;23:00:25;;;23:00:05;30.01.2018 23:00;30.01.2018 23:00;30.01.2018 23:11;;0;;;4;;0;;30.3247101172,60.0537539046;30.3177149096,59.9827859773;;0;0;0;8334;2048;;;;215820;;;;user;;;0;30.01.2018 23:00;;;;;Безналичные;Отменен;Яндекс.Безналичный;BMW 5er;;3adfb42083694905ad39132b26306536;
улица Первого Мая, 107к1;Санкт-Петербург, проспект Тореза, 81к1;;30.01.2018 22:26;30.01.2018 22:43;30.01.2018 22:22;0:16:58;30.01.2018 22:26;;0:11:53;30.01.2018 22:14;30.01.2018 22:14;30.01.2018 22:22;;0;;;2;;0;;30.2356535771,60.0719336511;30.326872,60.024419;;0;0;86,58;8333;0;;;;215820;;;;;;;0;30.01.2018 22:14;;;;;Наличные;Завершен;Яндекс;BMW 5er;;096a2523072b413eaf3197ce2e7341eb;
Рядом с: Краснопутиловская улица, 109;До пункта: Пулковское шоссе, 3к1;;30.01.2018 22:18;30.01.2018 22:22;30.01.2018 22:18;0:03:59;30.01.2018 22:18;;0:05:23;30.01.2018 22:12;30.01.2018 22:12;30.01.2018 22:18;;0;;;1;;0;;30.3089813944,59.8489575306;30.3177638323,59.8408563393;;0;0;16,56;8332;0;;;;771178;;;;;;;0;30.01.2018 22:12;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;e4066a2baa1a462ab934453e05f3e87c;
Московский район, муниципальный округ Пулковский Меридиан;Краснопутиловская улица, 104;;30.01.2018 21:23;30.01.2018 21:33;30.01.2018 21:16;0:09:43;30.01.2018 21:20;;0:07:59;30.01.2018 21:12;30.01.2018 21:12;30.01.2018 21:16;;0;;;1;;0;;30.319311142,59.8282165527;30.317027,59.846011;;0;0;30,78;8331;0;;;;771178;;;;;;;0;30.01.2018 21:12;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;90ebd20cf64e4d5ead7bbe2c4423a074;
Рядом с: Лыжный переулок, 8к1;До пункта: Планерная улица, 71к3;;30.01.2018 19:48;30.01.2018 20:01;30.01.2018 19:46;0:13:06;30.01.2018 19:44;;0:04:21;30.01.2018 19:40;30.01.2018 19:40;30.01.2018 19:46;;0;;;1;;0;;30.1978202045,59.9996959633;30.2179083255,60.0262788444;;0;0;36,72;8330;0;;;;11178;;;;;;;0;30.01.2018 19:40;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;4995c62f1ef84872b0635a6cd45baf5a;
Рядом с: Невский проспект, 18;До пункта: Московский проспект, 73;;30.01.2018 18:56;30.01.2018 19:13;30.01.2018 18:56;0:17:02;30.01.2018 18:54;;0:06:30;30.01.2018 18:48;30.01.2018 18:48;30.01.2018 18:56;;0;;;1;;0;;30.3179693343,59.9365326595;30.317889,59.904983;;0;0;39,24;8329;2048;;;;614178;;;;;;;0;30.01.2018 18:48;;;;;Безналичные;Завершен;Яндекс.Безналичный;Chevrolet Cruze;;0393add0f04048a7a9c9b81a638eaca7;
Рядом с: Казанская улица, 5;Загородный проспект, 52, Железнодорожный вокзал Витебский;;30.01.2018 18:10;30.01.2018 18:49;30.01.2018 18:10;0:38:43;30.01.2018 18:08;;0:02:18;30.01.2018 18:05;30.01.2018 18:05;30.01.2018 18:10;;0;;;1;;0;;30.3221394578,59.9330380081;30.328913,59.919806;;0;0;59,04;8328;0;;;;846197;;;;;;;0;30.01.2018 18:05;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;9aed1edcf96e44199825ba9ad568c639;
проспект Косыгина, 19к2;площадь Островского, 6, Академический театр драмы имени А. С. Пушкина Александринский театр;;30.01.2018 18:09;30.01.2018 18:38;30.01.2018 18:04;0:28:21;30.01.2018 18:02;;0:03:45;30.01.2018 17:59;30.01.2018 17:58;30.01.2018 18:04;;0;;;1;;0;;30.4816667084,59.9442547979;30.336293,59.932019;;0;0;56,88;8327;2048;;;;614178;;;;;;;0;30.01.2018 17:58;;;;;Безналичные;Завершен;Яндекс.Безналичный;Chevrolet Cruze;;cac8d107fd3143c8aa6a527d49e483dc;
Рядом с: Уральская улица;До пункта: Казанская улица, 6;;30.01.2018 17:35;30.01.2018 17:59;30.01.2018 17:30;0:24:53;30.01.2018 17:29;;0:02:48;30.01.2018 17:26;30.01.2018 17:26;30.01.2018 17:30;;0;;;1;;0;;30.2466916705,59.9557223386;30.322605,59.933054;;0;0;52,74;8326;0;;;;846197;;;;;;;0;30.01.2018 17:26;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;9abcb373a79141d191a50186e00cc77f;
Большая Конюшенная улица, 14;проспект КИМа, 11;;30.01.2018 16:56;30.01.2018 17:22;30.01.2018 16:52;0:25:42;30.01.2018 16:52;;0:06:25;30.01.2018 16:46;30.01.2018 16:46;30.01.2018 16:52;;0;;;1;;0;;30.3231717,59.9359376;30.24518,59.953065;;0;0;38,52;8325;0;;;;846197;;;;;;;0;30.01.2018 16:46;;;;;Наличные;Завершен;Яндекс;Volkswagen Polo;;e7d64eac6ab14017ba98fde5dbfac5cc;
Невский проспект, 35;Караванная улица, 20;;;30.01.2018 16:32;30.01.2018 16:38;16:32:48;;;16:31:49;30.01.2018 16:31;30.01.2018 16:31;30.01.2018 16:38;;0;;;1;;0;;30.3327253929,59.9344776195;30.341551,59.934948;;0;0;0;8324;2048;;;;846197;;;;user;;;0;30.01.2018 16:31;;;;;Безналичные;Отменен;Яндекс.Безналичный;Volkswagen Polo;;03e2b53a59e649b097ad6a1d764eb458;
Морская набережная, 39к2;Пулковское ш., 41, литера ЗА, Аэропорт Пулково Терминал 1;;30.01.2018 16:43;30.01.2018 17:07;30.01.2018 16:32;0:24:18;30.01.2018 16:34;;0:11:19;30.01.2018 16:23;30.01.2018 16:23;30.01.2018 16:32;;0;;;1;;0;;30.2276416667,59.96017;30.26444,59.800698;;0;0;121,68;8323;0;;;;857178;;;;;;;0;30.01.2018 16:23;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;b80aee469494473e9fb7bd98e54b970b;
Большая Пушкарская улица, 42/16;улица Марата, 11, Мариус;;30.01.2018 16:12;30.01.2018 16:31;30.01.2018 16:08;0:19:40;30.01.2018 16:07;;0:02:08;30.01.2018 16:05;30.01.2018 16:05;30.01.2018 16:08;;0;;;1;;0;;30.3070274244,59.9609613566;30.353813,59.929592;;0;0;41,58;8322;2048;;;;614178;;;;;;;0;30.01.2018 16:05;;;;;Безналичные;Завершен;Яндекс.Безналичный;Chevrolet Cruze;;8f7f86dd3a24471583c6458de82a486f;
Рядом с: Богатырский проспект;2 линия, метро Озерки;;30.01.2018 15:48;30.01.2018 16:16;30.01.2018 15:50;0:27:47;30.01.2018 15:48;;0:01:41;30.01.2018 15:47;30.01.2018 15:46;30.01.2018 15:50;;0;;;1;;0;;30.2565475582,60.0008997218;30.321878,60.037131;;0;0;51,84;8321;6144;;;;190178;;;;;;;0;30.01.2018 15:46;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;076c8817f0644b25b99e67cfbf30c59c;
